Fecha, Hora, Temp. Ambiental (DHT11), Humedad (DHT11), CO2 PPM (MQ135),  Temp. Corporal (MLX90614), Pulso Card. (MAX30102), Oxigenacion (MAX30102)
04/12/2024, 00:50:22, 20.20, 60.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:50:28, 20.20, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:50:34, 20.20, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:50:41, 20.20, 60.00, 83, 19.99, 0.00, 0.00
04/12/2024, 00:50:47, 20.20, 60.00, 80, 19.99, 0.00, 0.00
04/12/2024, 00:50:53, 20.20, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:51:00, 20.20, 60.00, 83, 19.99, 0.00, 0.00
04/12/2024, 00:51:06, 20.20, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:51:12, 20.20, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:51:19, 20.20, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:51:25, 20.20, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:51:31, 20.20, 60.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:51:38, 20.20, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:51:44, 20.20, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:51:50, 20.30, 60.00, 80, 19.95, 0.00, 0.00
04/12/2024, 00:51:57, 20.50, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:52:03, 20.60, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:52:10, 20.60, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:52:16, 20.60, 60.00, 83, 20.05, 0.00, 0.00
04/12/2024, 00:52:22, 20.60, 60.00, 80, 19.99, 0.00, 0.00
04/12/2024, 00:52:29, 20.60, 60.00, 80, 20.01, 0.00, 0.00
04/12/2024, 00:52:35, 20.60, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:52:41, 20.60, 60.00, 83, 20.09, 0.00, 0.00
04/12/2024, 00:52:48, 20.60, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:52:54, 20.60, 60.00, 83, 20.01, 0.00, 0.00
04/12/2024, 00:53:00, 20.60, 60.00, 80, 20.05, 0.00, 0.00
04/12/2024, 00:53:07, 20.60, 60.00, 83, 20.05, 0.00, 0.00
